,Account Number,Balance Date,Transaction Value,Balance
100,10295384,2023-02-06,87.57,312.28999999999996
101,10295384,2023-02-07,186.15,498.44
102,10295384,2023-02-07,133.09,631.53
103,10295384,2023-02-09,-110.01,521.52
104,10295384,2023-02-11,-62.52,459.0
105,10295384,2023-02-13,128.0,587.0
106,10350324,2023-01-31,,861.81
107,10350324,2023-02-03,247.64,1109.4499999999998
108,10350324,2023-02-04,81.35,1190.8
109,10350324,2023-02-04,47.39,1238.1899999999998
110,10350324,2023-02-07,-42.19,1196.0
111,10350324,2023-02-10,-91.04,1104.96
112,10350324,2023-02-11,132.19,1237.1499999999999
113,10350324,2023-02-11,119.75,1356.8999999999999
114,10350324,2023-02-13,-142.63,1214.27
115,10437896,2023-01-31,,661.08
116,10437896,2023-02-04,55.24,716.32
117,10437896,2023-02-04,-51.84,664.48
118,10437896,2023-02-06,68.72,733.2
119,10437896,2023-02-09,116.34,849.5400000000001
120,10437896,2023-02-11,1107.1,1956.6399999999999
121,10437896,2023-02-13,73.97,2030.61
122,10449180,2023-01-31,,228.24
123,10449180,2023-02-01,48.99,277.23
124,10449180,2023-02-02,25.81,303.04
125,10449180,2023-02-06,784.3,1087.34
126,10449180,2023-02-11,75.88,1163.2199999999998
127,10464544,2023-01-31,,755.99
128,10464544,2023-02-01,-89.56,666.4300000000001
129,10464544,2023-02-07,135.77,802.2
130,10464544,2023-02-08,132.1,934.3
131,10464544,2023-02-12,-463.1,471.2
132,10464544,2023-02-14,987.9,1459.1
133,10464544,2023-02-14,-81.26,1377.84
134,10473116,2023-01-31,,387.7
135,10473116,2023-02-01,-94.91,292.78999999999996
136,10473116,2023-02-03,87.46,380.25
137,10473116,2023-02-06,-1194.9,-814.6500000000001
138,10473116,2023-02-08,103.49,-711.1600000000001
139,10473116,2023-02-10,28.23,-682.9300000000001
140,10473116,2023-02-12,-108.51,-791.44
141,10521885,2023-01-31,,54.87
142,10521885,2023-02-01,127.41,182.28
143,10521885,2023-02-01,-83.86,98.42
144,10521885,2023-02-03,120.33,218.75
145,10521885,2023-02-09,37.14,255.89
146,10521885,2023-02-12,70.6,326.49
147,10521885,2023-02-14,150.19,476.68
148,10521885,2023-02-14,53.35,530.03
149,10553619,2023-01-31,,756.2
150,10553619,2023-02-01,72.18,828.3800000000001
151,10553619,2023-02-01,-112.77,715.61
152,10553619,2023-02-03,133.94,849.5500000000001
153,10553619,2023-02-04,-1263.9,-414.35
154,10553619,2023-02-05,-89.62,-503.97
155,10553619,2023-02-06,-1085.4,-1589.3700000000001
156,10553619,2023-02-11,873.9,-715.4700000000001
157,10553619,2023-02-14,1485.6,770.1299999999998
158,10553619,2023-02-14,-43.02,727.1099999999998
159,10554116,2023-01-31,,243.95
160,10554116,2023-02-01,-121.83,122.11999999999999
161,10586481,2023-01-31,,73.83
162,10586481,2023-02-03,100.42,174.25
163,10586481,2023-02-11,142.56,316.81
164,10586481,2023-02-12,128.32,445.13
165,10586481,2023-02-12,-49.53,395.6
166,10586481,2023-02-14,-24.89,370.71
167,10608220,2023-01-31,,632.92
168,10608220,2023-02-01,33.49,666.41
169,10608220,2023-02-01,-89.41,577.0
170,10608220,2023-02-04,-117.26,459.73999999999995
171,10608220,2023-02-05,78.8,538.54
172,10608220,2023-02-10,-55.88,482.65999999999997
173,10608220,2023-02-11,-142.56,340.09999999999997
174,10608220,2023-02-13,86.79,426.89
175,10608220,2023-02-13,-98.19,328.7
176,10608220,2023-02-13,-118.5,210.2
177,10631690,2023-01-31,,947.45
178,10631690,2023-02-03,165.39,1112.8400000000001
179,10631690,2023-02-03,-41.04,1071.8
180,10631690,2023-02-11,-151.02,920.78
181,10675607,2023-01-31,,284.84
182,10675607,2023-02-01,-114.21,170.63
183,10675607,2023-02-08,-19.11,151.51999999999998
184,10675607,2023-02-14,-908.4,-756.88
185,10725127,2023-01-31,,984.69
186,10725127,2023-02-04,-1268.7,-284.01
187,10725127,2023-02-09,148.39,-135.62
188,10725127,2023-02-11,102.03,-33.59
189,10725127,2023-02-12,-228.52,-262.11
190,10725127,2023-02-13,-157.99,-420.1
191,10769769,2023-01-31,,906.91
192,10769769,2023-02-01,-93.28,813.63
193,10769769,2023-02-02,38.78,852.41
194,10769769,2023-02-02,-20.72,831.6899999999999
195,10769769,2023-02-02,-96.8,734.89
196,10769769,2023-02-02,-1502.2,-767.3100000000001
197,10769769,2023-02-03,-89.51,-856.82
198,10769769,2023-02-05,145.08,-711.74
199,10769769,2023-02-05,-59.15,-770.8900000000001
200,10769769,2023-02-08,-143.57,-914.46
201,10769769,2023-02-09,58.86,-855.6
202,10769769,2023-02-10,-51.82,-907.4200000000001
203,10769769,2023-02-10,-85.7,-993.1200000000001
204,10769769,2023-02-11,666.5,-326.6200000000001
205,10769769,2023-02-11,172.32,-154.30000000000013
206,10783139,2023-01-31,,992.98
207,10783139,2023-02-04,103.81,1096.79
208,10783139,2023-02-05,-92.78,1004.01
209,10783139,2023-02-08,-96.33,907.6800000000001
210,10783139,2023-02-09,9.69,917.37
211,10783139,2023-02-09,-129.76,787.61
212,10783139,2023-02-10,72.06,859.6700000000001
213,10783139,2023-02-12,109.08,968.75
214,10799356,2023-01-31,,915.04
215,10799356,2023-02-06,138.24,1053.28
216,10799356,2023-02-06,127.85,1181.1299999999999
217,10799356,2023-02-11,-120.98,1060.1499999999999
218,10799356,2023-02-11,-259.39,800.76
219,10799356,2023-02-12,-94.16,706.6
220,10799356,2023-02-14,-1314.7,-608.1
221,10819898,2023-01-31,,750.25
222,10819898,2023-02-01,103.68,853.9300000000001
223,10819898,2023-02-02,15.52,869.45
224,10819898,2023-02-03,-91.02,778.4300000000001
225,10819898,2023-02-05,-36.13,742.3
226,10819898,2023-02-08,123.29,865.59
227,10819898,2023-02-10,-104.75,760.84
228,10819898,2023-02-12,98.15,858.99
229,10819898,2023-02-14,114.54,973.53
230,10819898,2023-02-14,47.83,1021.36
231,10842511,2023-01-31,,651.77
232,10842511,2023-02-02,-155.92,495.85
233,10842511,2023-02-13,102.44,598.29
234,10847941,2023-01-31,,40.25
235,10847941,2023-02-06,-64.29,-24.040000000000006
236,10847941,2023-02-07,-143.62,-167.66000000000003
237,10847941,2023-02-08,92.54,-75.12000000000002
238,10847941,2023-02-10,-146.12,-221.24
239,10847941,2023-02-11,1094.0,872.76
240,10864084,2023-01-31,,119.98
241,10864084,2023-02-02,-150.75,-30.769999999999996
242,10864084,2023-02-02,-179.69,-210.45999999999998
243,10864084,2023-02-05,-39.08,-249.53999999999996
244,10864084,2023-02-06,154.92,-94.62
245,10864084,2023-02-06,114.81,20.189999999999998
246,10864084,2023-02-06,72.7,92.89
247,10864084,2023-02-10,98.32,191.20999999999998
248,10864084,2023-02-11,65.15,256.36
249,10864084,2023-02-13,-1545.5,-1289.1399999999999
250,10942334,2023-01-31,,55.42
251,10942334,2023-02-05,-92.89,-37.47
252,10942334,2023-02-07,-33.98,-71.44999999999999
253,10942334,2023-02-10,116.67,45.22
254,10942334,2023-02-11,84.45,129.67000000000002
255,10949168,2023-01-31,,471.8
256,10949168,2023-02-04,-105.89,365.91
257,10949168,2023-02-04,-127.73,238.18
258,10949168,2023-02-07,71.99,310.17
259,10949168,2023-02-09,-214.76,95.41000000000003
260,10949168,2023-02-11,146.95,242.36
261,10949168,2023-02-12,52.81,295.17
262,10949168,2023-02-14,-13.43,281.74
263,10989769,2023-01-31,,334.18
264,10989769,2023-02-03,854.4,1188.58
265,10989769,2023-02-12,-154.56,1034.02
266,10989769,2023-02-13,102.22,1136.24
267,10989769,2023-02-13,-66.55,1069.69
268,11008868,2023-01-31,,271.3
269,11008868,2023-02-02,-0.91,270.39
270,11008868,2023-02-07,-207.86,62.53
271,11008868,2023-02-13,96.98,159.51
272,11008868,2023-02-13,93.56,253.07
273,11008868,2023-02-14,131.58,384.65000000000003
274,11026937,2023-01-31,,303.44
275,11026937,2023-02-02,90.91,394.35
276,11026937,2023-02-02,-47.72,346.63
277,11026937,2023-02-06,-85.44,261.19
278,11026937,2023-02-07,-75.08,186.11
279,11026937,2023-02-07,-92.55,93.56
280,11026937,2023-02-13,-42.26,51.300000000000004
281,11026937,2023-02-14,67.47,118.77000000000001
282,11061291,2023-01-31,,72.7
283,11061291,2023-02-01,-162.41,-89.71
284,11061291,2023-02-03,-53.42,-143.13
285,11061291,2023-02-03,-149.54,-292.66999999999996
286,11061291,2023-02-04,186.95,-105.72
287,11061291,2023-02-08,61.41,-44.31
288,11061291,2023-02-08,5.73,-38.58
289,11061291,2023-02-09,-119.17,-157.75
290,11061291,2023-02-12,121.86,-35.89
291,11061291,2023-02-14,-78.98,-114.87
292,11067879,2023-01-31,,481.56
293,11067879,2023-02-01,187.01,668.5699999999999
294,11067879,2023-02-01,-812.6,-144.02999999999997
295,11067879,2023-02-02,-15.52,-159.54999999999998
296,11067879,2023-02-04,81.63,-77.91999999999997
297,11067879,2023-02-06,97.09,19.17000000000003
298,11067879,2023-02-07,151.33,170.50000000000006
299,11067879,2023-02-07,-96.93,73.57000000000002
300,11067879,2023-02-07,-123.45,-49.87999999999998
301,11067879,2023-02-08,-66.39,-116.26999999999998
302,11067879,2023-02-11,172.57,56.30000000000001
303,11067879,2023-02-11,-87.16,-30.859999999999985
304,11067879,2023-02-13,-78.91,-109.76999999999998
305,11110085,2023-01-31,,861.29
306,11110085,2023-02-03,107.9,969.1899999999999
307,11110085,2023-02-05,1712.2,2681.39
308,11110085,2023-02-06,97.33,2778.7200000000003
309,11110085,2023-02-11,109.66,2888.38
310,11110085,2023-02-12,122.36,3010.7400000000002
311,11110085,2023-02-12,-66.27,2944.4700000000003
312,11110085,2023-02-13,-147.67,2796.8
313,11110085,2023-02-14,1397.8,4194.6
314,11110085,2023-02-14,-152.84,4041.76
315,11150945,2023-01-31,,858.83
316,11150945,2023-02-01,240.2,1099.03
317,11150945,2023-02-01,-345.3,753.73
318,11150945,2023-02-03,32.07,785.8000000000001
319,11150945,2023-02-03,-189.03,596.77
320,11150945,2023-02-06,43.59,640.36
321,11150945,2023-02-09,133.16,773.52
322,11150945,2023-02-09,98.03,871.55
323,11150945,2023-02-13,763.2,1634.75
324,11150945,2023-02-13,-126.72,1508.03
325,11228111,2023-01-31,,130.36
326,11228111,2023-02-01,-142.2,-11.839999999999975
327,11228111,2023-02-02,-1501.3,-1513.1399999999999
328,11228111,2023-02-09,179.65,-1333.4899999999998
329,11228111,2023-02-10,169.47,-1164.02
330,11228111,2023-02-11,77.54,-1086.4799999999998
331,11228111,2023-02-11,69.11,-1017.3699999999999
332,11242986,2023-01-31,,344.68
333,11242986,2023-02-01,-160.4,184.28
334,11242986,2023-02-06,-21.12,163.16
335,11242986,2023-02-08,-93.77,69.39
336,11242986,2023-02-09,55.87,125.25999999999999
337,11242986,2023-02-11,-102.16,23.099999999999994
338,11251776,2023-01-31,,504.02
339,11251776,2023-02-03,88.94,592.96
340,11251776,2023-02-04,84.15,677.11
341,11251776,2023-02-09,150.22,827.3299999999999
342,11251776,2023-02-10,-67.69,759.64
343,11251776,2023-02-11,79.08,838.72
344,11251776,2023-02-14,-950.7,-111.98000000000002
345,11302888,2023-01-31,,458.83
346,11302888,2023-02-04,117.6,576.43
347,11302888,2023-02-05,-80.56,495.87
348,11302888,2023-02-06,182.96,678.8299999999999
349,11302888,2023-02-10,-19.72,659.11
350,11306584,2023-01-31,,522.4
351,11306584,2023-02-01,52.0,574.4
352,11306584,2023-02-03,-432.2,142.2
353,11306584,2023-02-07,1198.9,1341.1000000000001
354,11306584,2023-02-07,45.38,1386.4800000000002
355,11306584,2023-02-09,151.14,1537.6200000000001
356,11306584,2023-02-10,-30.61,1507.0100000000002
357,11306584,2023-02-11,63.83,1570.8400000000001
358,11306584,2023-02-12,1681.9,3252.7400000000002
359,11306584,2023-02-12,-71.74,3181.0000000000005
360,11306584,2023-02-14,-701.1,2479.9
361,11333185,2023-01-31,,693.23
362,11333185,2023-02-02,99.58,792.8100000000001
363,11333185,2023-02-06,113.2,906.01
364,11333185,2023-02-06,-676.7,229.30999999999995
365,11333185,2023-02-07,186.08,415.39
366,11333185,2023-02-07,-1440.9,-1025.5100000000002
367,11333185,2023-02-10,-67.29,-1092.8000000000002
368,11333185,2023-02-11,155.81,-936.9900000000002
369,11333185,2023-02-11,88.41,-848.5800000000003
370,11333185,2023-02-11,-138.48,-987.0600000000002
371,11333185,2023-02-13,1582.4,595.3399999999999
372,11346696,2023-01-31,,661.99
373,11346696,2023-02-04,-91.69,570.3
374,11346696,2023-02-06,-75.77,494.53000000000003
375,11346696,2023-02-09,-113.15,381.38
376,11346696,2023-02-10,-812.8,-431.41999999999996
377,11346696,2023-02-13,-1487.7,-1919.12
378,11359678,2023-01-31,,837.17
379,11359678,2023-02-07,65.16,902.3299999999999
380,11359678,2023-02-07,-67.04,835.29
381,11359678,2023-02-11,62.24,897.53
382,11359678,2023-02-14,-74.53,823.0
383,11360263,2023-01-31,,136.79
384,11360263,2023-02-01,100.02,236.81
385,11360263,2023-02-03,130.53,367.34
386,11360263,2023-02-03,101.8,469.14
387,11360263,2023-02-06,173.03,642.17
388,11360263,2023-02-06,80.15,722.3199999999999
389,11360263,2023-02-09,-68.25,654.0699999999999
390,11360263,2023-02-12,-47.25,606.8199999999999
391,11368995,2023-01-31,,565.8
392,11368995,2023-02-01,-63.48,502.31999999999994
393,11368995,2023-02-02,150.75,653.0699999999999
394,11368995,2023-02-02,-140.61,512.4599999999999
395,11368995,2023-02-04,-121.49,390.96999999999997
396,11368995,2023-02-05,-92.6,298.36999999999995
397,11368995,2023-02-06,52.22,350.59
398,11368995,2023-02-08,65.06,415.65
399,11437275,2023-01-31,,115.34
400,11437275,2023-02-05,98.47,213.81
401,11437275,2023-02-07,112.5,326.31
402,11437275,2023-02-07,-144.5,181.81
403,11437275,2023-02-09,94.06,275.87
404,11437275,2023-02-10,-100.43,175.44
405,11437275,2023-02-10,-112.61,62.83
406,11438427,2023-01-31,,484.08
407,11438427,2023-02-06,123.77,607.85
408,11438427,2023-02-07,-23.9,583.9499999999999
409,11438427,2023-02-08,-190.12,393.83
410,11438427,2023-02-08,-1686.0,-1292.17
411,11463412,2023-01-31,,342.53
412,11463412,2023-02-07,-97.82,244.70999999999998
413,11463412,2023-02-09,1582.3,1827.01
414,11475827,2023-01-31,,363.88
415,11475827,2023-02-01,48.39,412.27
416,11475827,2023-02-07,89.09,501.36
417,11475827,2023-02-08,-45.54,455.82
418,11475827,2023-02-11,1129.9,1585.72
419,11475827,2023-02-11,86.86,1672.58
420,11475827,2023-02-12,106.02,1778.6
421,11522216,2023-01-31,,590.37
422,11522216,2023-02-03,43.61,633.98
423,11522216,2023-02-04,199.41,833.39
424,11522216,2023-02-10,106.62,940.01
425,11522216,2023-02-10,82.97,1022.98
426,11522216,2023-02-14,81.37,1104.35
427,11662506,2023-01-31,,573.89
428,11662506,2023-02-01,-167.85,406.03999999999996
429,11662506,2023-02-05,102.96,509.0
430,11662506,2023-02-05,89.72,598.72
431,11662506,2023-02-09,-38.09,560.63
432,11662506,2023-02-09,-134.78,425.84999999999997
433,11662506,2023-02-11,-84.35,341.5
434,11662506,2023-02-14,-77.33,264.16999999999996
435,11662506,2023-02-14,-1397.8,-1133.63
436,11694020,2023-01-31,,379.2
437,11694020,2023-02-04,-189.72,189.48
438,11694020,2023-02-06,44.43,233.91
439,11694020,2023-02-09,-1363.6,-1129.6899999999998
440,11694020,2023-02-12,1.29,-1128.3999999999999
441,11694020,2023-02-14,725.0,-403.39999999999986
442,11717885,2023-01-31,,6.06
443,11717885,2023-02-05,-72.53,-66.47
444,11717885,2023-02-13,-86.51,-152.98000000000002
445,11728970,2023-01-31,,711.65
446,11728970,2023-02-06,123.61,835.26
447,11728970,2023-02-06,84.79,920.05
448,11728970,2023-02-09,-135.18,784.87
449,11728970,2023-02-14,93.35,878.22
450,11736814,2023-01-31,,381.51
451,11736814,2023-02-03,-133.06,248.45
452,11736814,2023-02-05,-790.5,-542.05
453,11736814,2023-02-06,98.86,-443.18999999999994
454,11736814,2023-02-11,-1851.4,-2294.59
455,11744491,2023-01-31,,105.92
456,11744491,2023-02-01,142.98,248.89999999999998
457,11744491,2023-02-01,112.17,361.07
458,11744491,2023-02-03,656.3,1017.3699999999999
459,11744491,2023-02-04,-144.75,872.6199999999999
460,11744491,2023-02-06,-92.39,780.2299999999999
461,11744491,2023-02-09,87.15,867.3799999999999
462,11744491,2023-02-09,-176.85,690.53
463,11744491,2023-02-10,-39.7,650.8299999999999
464,11744491,2023-02-11,85.89,736.7199999999999
465,11744491,2023-02-12,-55.81,680.9099999999999
466,11744491,2023-02-13,115.86,796.7699999999999
467,11744491,2023-02-13,-121.39,675.3799999999999
468,11764022,2023-01-31,,286.66
469,11764022,2023-02-01,-117.24,169.42000000000002
470,11764022,2023-02-03,3.65,173.07000000000002
471,11764022,2023-02-10,86.61,259.68000000000006
472,11778031,2023-01-31,,514.7
473,11778031,2023-02-08,-37.69,477.01000000000005
474,11778031,2023-02-09,-64.44,412.57000000000005
475,11778031,2023-02-11,102.08,514.6500000000001
476,11778031,2023-02-13,569.6,1084.25
477,11790056,2023-01-31,,49.7
478,11790056,2023-02-01,119.97,169.67000000000002
479,11790056,2023-02-01,-95.49,74.18
480,11790056,2023-02-03,12.0,86.18
481,11790056,2023-02-05,-91.81,-5.6299999999999955
482,11790056,2023-02-06,-47.78,-53.41
483,11790056,2023-02-06,-688.5,-741.91
484,11790056,2023-02-08,90.7,-651.2099999999999
485,11790056,2023-02-08,-41.57,-692.78
486,11790056,2023-02-09,-969.7,-1662.48
487,11804173,2023-01-31,,353.62
488,11804173,2023-02-02,119.36,472.98
489,11804173,2023-02-04,100.25,573.23
490,11804173,2023-02-04,-159.42,413.81
491,11804173,2023-02-11,-53.59,360.22
492,11826060,2023-01-31,,782.13
493,11826060,2023-02-05,63.32,845.45
494,11826060,2023-02-07,81.64,927.09
495,11826060,2023-02-09,38.13,965.22
496,11826060,2023-02-11,-63.83,901.39
497,11826060,2023-02-13,118.67,1020.06
498,11826060,2023-02-13,93.04,1113.1
499,11831265,2023-01-31,,292.14
500,11831265,2023-02-01,-91.77,200.37
501,11831265,2023-02-01,-103.4,96.96999999999998
502,11831265,2023-02-01,-140.67,-43.7
503,11831265,2023-02-09,-98.31,-142.01
504,11831265,2023-02-10,89.98,-52.03
505,11831265,2023-02-13,157.99,105.96000000000001
506,11831265,2023-02-14,-85.67,20.290000000000006
507,11836917,2023-01-31,,650.14
508,11836917,2023-02-01,-138.19,511.95
509,11836917,2023-02-12,90.66,602.61
510,11836917,2023-02-14,165.55,768.16
511,11836917,2023-02-14,87.88,856.04
512,11846043,2023-01-31,,915.59
513,11846043,2023-02-02,69.49,985.08
514,11846043,2023-02-06,87.82,1072.9
515,11846043,2023-02-07,-56.28,1016.62
516,11846043,2023-02-10,-1640.4,-623.7800000000001
517,11846043,2023-02-12,139.76,-484.0200000000001
518,11882775,2023-01-31,,299.41
519,11882775,2023-02-01,-105.63,193.78000000000003
520,11882775,2023-02-01,-1058.7,-864.9200000000001
521,11882775,2023-02-03,118.76,-746.1600000000001
522,11882775,2023-02-03,-753.5,-1499.66
523,11882775,2023-02-05,84.05,-1415.6100000000001
524,11882775,2023-02-06,-90.05,-1505.66
525,11882775,2023-02-06,-1791.9,-3297.5600000000004
526,11882775,2023-02-08,209.73,-3087.8300000000004
527,11882775,2023-02-09,1202.9,-1884.93
528,11910409,2023-01-31,,241.22
529,11910409,2023-02-01,-80.43,160.79
530,11910409,2023-02-04,-78.93,81.85999999999999
531,11910409,2023-02-05,78.36,160.21999999999997
532,11910409,2023-02-05,-118.22,41.999999999999986
533,11910409,2023-02-06,-53.53,-11.530000000000015
534,11910409,2023-02-12,103.79,92.25999999999999
535,11910409,2023-02-13,112.31,204.57
536,11928523,2023-01-31,,818.51
537,11928523,2023-02-05,-149.91,668.6
538,11928523,2023-02-07,-76.58,592.02
539,11928523,2023-02-08,-74.38,517.64
540,11928523,2023-02-11,99.31,616.95
541,11928523,2023-02-12,2208.4,2825.3500000000004
542,11928523,2023-02-13,68.67,2894.02
543,12035637,2023-01-31,,461.35
544,12035637,2023-02-02,-779.9,-318.54999999999995
545,12035637,2023-02-02,-1138.0,-1456.55
546,12035637,2023-02-03,-36.14,-1492.69
547,12035637,2023-02-07,1190.8,-301.8900000000001
548,12035637,2023-02-07,260.82,-41.07000000000011
549,12035637,2023-02-07,230.31,189.2399999999999
550,12035637,2023-02-08,-90.52,98.7199999999999
551,12035637,2023-02-08,-143.15,-44.430000000000106
552,12035637,2023-02-08,-1169.6,-1214.03
553,12035637,2023-02-10,551.6,-662.43
554,12035637,2023-02-11,-137.31,-799.74
555,12035637,2023-02-12,-123.5,-923.24
556,12042151,2023-01-31,,336.44
557,12042151,2023-02-03,-89.74,246.7
558,12042151,2023-02-05,97.45,344.15
559,12042151,2023-02-07,101.5,445.65
560,12042151,2023-02-09,-64.03,381.62
561,12042151,2023-02-11,1271.5,1653.12
562,12042151,2023-02-11,-32.04,1621.08
563,12042151,2023-02-13,-61.53,1559.55
564,12088180,2023-01-31,,656.51
565,12088180,2023-02-11,22.62,679.13
566,12088180,2023-02-12,190.9,870.03
567,12088180,2023-02-14,-45.9,824.13
568,12099406,2023-01-31,,681.11
569,12099406,2023-02-01,-94.97,586.14
570,12099406,2023-02-07,-934.2,-348.06000000000006
571,12099406,2023-02-10,-143.73,-491.7900000000001
572,12099406,2023-02-12,1201.1,709.3099999999998
573,12099406,2023-02-13,112.0,821.3099999999998
574,12111805,2023-01-31,,890.99
575,12111805,2023-02-01,110.9,1001.89
576,12111805,2023-02-03,-79.35,922.54
577,12111805,2023-02-06,128.91,1051.45
578,12111805,2023-02-10,-185.21,866.24
579,12111805,2023-02-11,-77.84,788.4
580,12111805,2023-02-13,-202.54,585.86
581,12111805,2023-02-14,-94.45,491.41
582,12172627,2023-01-31,,550.41
583,12172627,2023-02-02,137.03,687.4399999999999
584,12172627,2023-02-05,-116.16,571.28
585,12172627,2023-02-12,-76.51,494.77
586,12185627,2023-01-31,,873.23
587,12185627,2023-02-02,-30.52,842.71
588,12185627,2023-02-03,225.89,1068.6
589,12185627,2023-02-04,-50.19,1018.41
590,12185627,2023-02-05,-80.67,937.74
591,12185627,2023-02-10,206.97,1144.71
592,12185627,2023-02-11,193.89,1338.6
593,12185627,2023-02-11,100.94,1439.54
594,12185627,2023-02-12,-72.94,1366.6
595,12185627,2023-02-13,-91.8,1274.8
596,12198380,2023-01-31,,445.46
597,12198380,2023-02-03,145.97,591.43
598,12198380,2023-02-04,134.24,725.67
599,12198380,2023-02-05,100.05,825.72
600,12198380,2023-02-05,-144.38,681.3399999999999
601,12198380,2023-02-05,-171.75,509.59
602,12198380,2023-02-07,-34.47,475.12
603,12198380,2023-02-09,145.71,620.8299999999999
604,12198380,2023-02-12,67.66,688.49
605,12198380,2023-02-14,-85.37,603.12
606,12199229,2023-01-31,,804.0
607,12199229,2023-02-11,-30.47,773.53
608,12199229,2023-02-11,-31.4,742.13
609,12233762,2023-01-31,,386.05
610,12233762,2023-02-05,-114.97,271.08000000000004
